STATION,STATION_NAME,DATE,HPCP
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 01:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 02:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 03:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 04:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 06:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881218 08:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881218 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 18:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 19:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 20:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 21:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 22:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881220 23:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881221 00:00,0.18
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881221 01:00,0.18
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881221 02:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881221 03:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881222 19:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881222 20:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881222 21:00,0.17
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 11:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 12:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 14:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 15:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 16:00,0.09
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 17:00,0.19
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 18:00,0.17
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 19:00,0.13
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 20:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 21:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881224 22:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881227 20:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 10:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 11:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 12:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 13:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881231 19:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890101 00:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890101 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890101 02:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890101 03:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890101 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 13:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 14:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 15:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 18:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 19:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 20:00,0.16
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890105 21:00,0.18
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890123 15:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890123 16:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890123 18:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890201 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890202 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890202 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890203 13:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890203 14:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890203 15:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890203 16:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890203 22:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 02:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 03:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 04:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 05:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 11:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 12:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 13:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890204 14:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 01:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 02:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 03:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 04:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 06:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 07:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890208 22:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890209 01:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890209 02:00,0.12
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890209 03:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19890209 04:00,0.19
